Recipe Name,Calories,Personal Points,Image URL,Recipe Keys,Summary,URL
Blackened Fish with Key Lime Tartar,Cals:374,7,https://www.skinnytaste.com/wp-content/uploads/2022/03/Blackened-Fish-with-Key-Lime-Tartar-8.jpg,"AF, GF, HP, Q","Blackened Fish with Key Lime Tartar Sauce is ridiculously delicious, inspired by my vacation to the Florida Keys. Make it in the oven or air fryer!",https://www.skinnytaste.com/blackened-fish-with-key-lime-tartar/
BBQ Chicken Salad,Cals:241,2,https://www.skinnytaste.com/wp-content/uploads/2015/08/BBQ-Chicken-Salad-6.jpg,"GF, MP, Q","This BBQ Chicken Salad is easy, delicious and takes less than 15 minutes to make – the perfect warm salad bowl!",https://www.skinnytaste.com/bbq-chicken-salad/
Strawberry Banana Bread,Cals:88,4,https://www.skinnytaste.com/wp-content/uploads/2013/06/Strawberry-Banana-Bread-6.jpg,"KF, V","This Strawberry Banana Bread recipe is moist and delicious, made with ripe bananas and roasted strawberries. Roasting the berries brings out their natural sweetness!",https://www.skinnytaste.com/roasted-strawberry-banana-bread/
Air Fryer Chickpeas,Cals:196,0,https://www.skinnytaste.com/wp-content/uploads/2022/03/Air-Fryer-Chickpeas-8.jpg,"AF, DF, GF, HF, Q, V","Crispy Air Fryer Chickpeas are a healthy, high fiber snack or salad topper! So quick and easy to make in the air fryer.",https://www.skinnytaste.com/air-fryer-chickpeas/
Ground Turkey Taco Skillet,Cals:503,11,https://www.skinnytaste.com/wp-content/uploads/2022/03/Turkey-Taco-Skillet-6.jpg,"GF, HF, KF, Q","Turkey Taco Skillet, an easy one-pan weeknight dinner using ground turkey, corn, pinto beans and salsa topped with tortilla chips and cheese.",https://www.skinnytaste.com/turkey-taco-skillet/
Spinach Artichoke Lasagna Roll-ups,Cals:250,7,https://www.skinnytaste.com/wp-content/uploads/2022/03/Spinach-and-Artichoke-Lasagna-Roll-Ups-10.jpg,"FM, GF, KF, MP, V",Go meatless with these tasty Spinach Artichoke Lasagna Roll-ups! They’re much faster to make and bake than a traditional lasagna.,https://www.skinnytaste.com/spinach-artichoke-lasagna-roll-up/
Mushroom Risotto,Cals:333,11,https://www.skinnytaste.com/wp-content/uploads/2009/10/Mushroom-Risotto_1-4.jpg,"GF, Q, V","Mushroom Risotto is creamy Italian rice dish made with Arborio rice and loaded with mushrooms. It takes time to cook, but so worth the wait!",https://www.skinnytaste.com/risotto-is-creamy-italian-rice-dish/
Ginger Scallion Fish,Cals:229,3,https://www.skinnytaste.com/wp-content/uploads/2022/03/Ginger-Scallion-Fish-5.jpg,"DF, GF, HP, LC, Q, W","A simple fish, flavorful recipe made with flaky white Fish with Ginger Scallion Sauce – ready in 15 minutes.",https://www.skinnytaste.com/ginger-scallion-fish/
Tuna Croquettes (Baked or Air Fryer),Cals:215,3,https://www.skinnytaste.com/wp-content/uploads/2022/03/Tuna-Croquettes-8.jpg,"AF, DF, GF, HP, MP, Q","Tuna Croquettes are budget-friendly, made with pantry staple canned tuna, potato, and dill that's breaded and baked in the oven or air fryer.",https://www.skinnytaste.com/tuna-croquettes/
Sloppy Joe Recipe,Cals:122,4,https://www.skinnytaste.com/wp-content/uploads/2010/10/Skinny-Sloppy-Joe_s-8.jpg,"DF, GF, KF, MP, Q",Easy Sloppy Joe recipe made with ground sirloin beef and loaded with hidden veggies – great for those picky eaters!,https://www.skinnytaste.com/skinny-sloppy-joes/
Enchilada Turkey Meatloaf,Cals:268,2,https://www.skinnytaste.com/wp-content/uploads/2022/03/Enchilada-Turkey-Meatloaf-5.jpg,"FM, GF, HP","If you love turkey meatloaf and enchiladas, you'll love this Enchilada Turkey Meatloaf, a fun twist on the weeknight classic.",https://www.skinnytaste.com/enchilada-turkey-meatloaf/
Escarole and Chickpea Soup with Garlic Toast,Cals:222,3,https://www.skinnytaste.com/wp-content/uploads/2022/02/Garlicky-Escarole-and-Chickpea-Soup-with-Garlic-Toast-5.jpg,"FM, HF, Q, V","If you're looking for a healthy and filling vegetarian soup that's quick, cheap and easy, this Escarole and Chickpea Soup is it.",https://www.skinnytaste.com/escarole-and-chickpea-soup-with-garlic-toast/
Homemade Italian Turkey Sausage or Chicken Sausage,Cals:129.4,5,https://www.skinnytaste.com/wp-content/uploads/2010/01/Homemade-Turkey-Sausage-6.jpg,"DF, FM, GF, LC, MP, Q, W","Although you can usually find Italian Turkey Sausage or Chicken Sausage in most supermarkets, after many requests I created this homemade version.",https://www.skinnytaste.com/homemade-turkey-sausage/
Protein Cookies with Chocolate Chips,Cals:304,7,https://www.skinnytaste.com/wp-content/uploads/2022/02/Peanut-Butter-Banana-Oat-Breakfast-Cookies-8-1.jpg,"FM, GF, HP, HF, KF, V","These easy protein cookies are made with peanut butter, oats, banana, and chocolate chips. The perfect quick, healthy snack with 12g protein and 8.5g fiber per serving.",https://www.skinnytaste.com/protein-cookies/
Cajun Fried Rice,Cals:501,10,https://www.skinnytaste.com/wp-content/uploads/2022/02/Cajun-Fried-Rice-7.jpg,"DF, GF, HF, Q","Cajun Fried Rice is a fun take on fried rice with all the familiar comforts of the classic takeout dish, plus the addictive flavors of Cajun cuisine.",https://www.skinnytaste.com/cajun-fried-rice/
Meal Prep Breakfast Taco Scramble,Cals:450,3,https://www.skinnytaste.com/wp-content/uploads/2018/02/meal-prep-breakfast-taco-1-2.jpg,"FM, GF, MP, W","A healthy Meal Prep Breakfast Taco Scramble, made with potatoes, turkey taco meat, scrambled eggs and salsa (cheese is optional!), perfect to make ahead for breakfast for the week!",https://www.skinnytaste.com/meal-prep-breakfast-taco-scramble/
Easiest Salsa Verde Chicken (Slow cooker or Instant Pot),Cals:167,0,https://www.skinnytaste.com/wp-content/uploads/2013/04/Crockpot-Salsa-Verde-Chicken-5.jpg,"FM, GF, HP, LC, PC, SC, W","This is the easiest Salsa Verde Chicken recipe made in the slow cooker or Instant Pot, perfect for tacos, tostadas, bowls, and more!",https://www.skinnytaste.com/easiest-crock-pot-salsa-verde-chicken/
Brothy Lima Beans and Greens (Stove or Instant Pot),Cals:299,2,https://www.skinnytaste.com/wp-content/uploads/2022/02/Brothy-Beans-and-Greens-7.jpg,"DF, GF, HF, MP, PC","Somewhere between a thick stew and soup, these Brothy Lima Beans and Greens are hearty comfort food and budget friendly. Stove and Instant Pot.",https://www.skinnytaste.com/brothy-lima-beans-and-greens-stove-or-instant-pot/
Lobster Bisque,Cals:203,5,https://www.skinnytaste.com/wp-content/uploads/2022/02/Healthy-Lobster-Bisque-9.jpg,"FM, GF","If you love lobster bisque, you'll love this lighter, healthier version made with no cream, it's creamy from pureeing the vegetable base.",https://www.skinnytaste.com/lobster-bisque/
Food Cart-Style Chicken Salad with White Sauce,Cals:345,4,https://www.skinnytaste.com/wp-content/uploads/2019/01/Street-Cart-Style-Chicken-Salad-with-White-Sauce-8.jpg,"GF, LC, MP",Halal Food Cart inspired chicken made with boneless chicken thighs served over a big salad of lettuce and tomatoes drizzled with a yummy white sauce.,https://www.skinnytaste.com/food-cart-style-chicken-salad-with-white-sauce/
3-Ingredient Strawberries Romanoff,Cals:79,3,https://www.skinnytaste.com/wp-content/uploads/2019/04/Skinny-Strawberries-Romanoff-7.jpg,"GF, KF, LC, Q, V","Strawberries Romanoff – a quick and easy 3-ingredient dessert, delicious and perfect for any night of the week!",https://www.skinnytaste.com/skinny-strawberries-romanoff/
Air Fryer Baked Sweet Potato,Cals:146,0,https://www.skinnytaste.com/wp-content/uploads/2022/02/Air-Fryer-Baked-Sweet-Potato-5.jpg,"AF, DF, GF, HF, KF, MP, V, W","Perfectly baked sweet potatoes cooked in the air fryer in less time than the oven, no pre-heating!",https://www.skinnytaste.com/air-fryer-baked-sweet-potato/
Chicken Breast with Hot Cherry Peppers,Cals:347,3,https://www.skinnytaste.com/wp-content/uploads/2022/02/Chicken-with-Hot-Cherry-Peppers-3.jpg,"DF, HP, Q","This spicy chicken breast recipe gets its heat from the Hot Cherry Peppers that cook in a simple sauce of white wine, chicken broth, and garlic.",https://www.skinnytaste.com/chicken-breast-with-hot-cherry-peppers/
Roasted Sweet Potato Black Bean Bowls,Cals:585,7,https://www.skinnytaste.com/wp-content/uploads/2022/02/Roasted-Sweet-Potato-and-Chipotle-Black-Bean-Bowls-8-2.jpg,"DF, GF, HF, MP, V","These Roasted Sweet Potato and Chipotle Black Bean Bowls are a filling vegetarian lunch or dinner, perfect for meal prep.",https://www.skinnytaste.com/sweet-potato-black-bean-bowls/
Crock Pot Italian Sloppy Joes,Cals:361,10,https://www.skinnytaste.com/wp-content/uploads/2013/01/Crockpot-Italian-Sloppy-Joe-7.jpg,"GF, KF, SC","Crock Pot Italian Sloppy Joes made with Italian chicken or turkey sausage, tomatoes, peppers and onions made in the slow cooker for an easy weeknight meal.",https://www.skinnytaste.com/crock-pot-italian-sloppy-joe/
Mini Bell Pepper Loaded Turkey “Nachos”,Cals:187,3,https://www.skinnytaste.com/wp-content/uploads/2017/02/Mini-Bell-Pepper-Loaded-Turkey-“Nachos-1-3.jpg,"GF, LC, Q","Loaded turkey mini bell pepper nachos – game changer!! These low-carb nachos are loaded with turkey taco meat, cheese and all your favorite nacho toppings!",https://www.skinnytaste.com/mini-bell-pepper-loaded-turkey-nachos/
Spinach and Bacon Stuffed Mushrooms,Cals:34.5,1,https://www.skinnytaste.com/wp-content/uploads/2012/01/skinny-spinach-and-bacon-stuffed-mushrooms.jpg,GF,"The stuffing is so good, I could eat it by the spoonful! More mushroom appetizers you might also likePhilly Cheesesteak Stuffed Mushrooms,Mushroom CevicheorLasagna Stuffed Mushrooms.",https://www.skinnytaste.com/skinny-spinach-and-bacon-stuffed/
Air Fryer Buffalo Chicken Nuggets,Cals:180,2,https://www.skinnytaste.com/wp-content/uploads/2022/01/Air-Fryer-Buffalo-Chicken-Nuggets-9.jpg,"AF, DF, GF, HP, Q","Crispy, spicy Air Fryer Buffalo Chicken Nuggets are perfect for the big game or enjoy them for lunch, or dinner.",https://www.skinnytaste.com/air-fryer-buffalo-chicken-nuggets/
Perfect Baked Potato,Cals:157,4,https://www.skinnytaste.com/wp-content/uploads/2022/01/Perfect-Baked-Potato-8-1.jpg,"DF, GF, V","This foolproof method makes the perfect baked potato—crispy skin on the outside, fluffy and tender inside. Bake them in the oven for the best texture, then load with your favorite toppings like butter, sour cream, chili, or broccoli and cheese. A simple, healthy side dish or base for a hearty meal.",https://www.skinnytaste.com/perfect-baked-potato/
Cream Cheese-Filled Almond Flour Banana Muffins (Gluten-Free),Cals:149,5,https://www.skinnytaste.com/wp-content/uploads/2022/01/Almond-Flour-Banana-Cream-Cheese-Muffins-8.jpg,"GF, KF, V","If you love banana bread, you love these grain free Cream Cheese-Filled Almond Flour Banana Muffins for a delicious gluten-free breakfast.",https://www.skinnytaste.com/cream-cheese-almond-flour-banana-muffins/
Crustless Potato Jalapeño Quiche,Cals:207,5,https://www.skinnytaste.com/wp-content/uploads/2022/01/Potato-Jalapeño-Pepper-Jack-Crustless-Quiche-6.jpg,"GF, MP, V","This Tex-Mex-inspired Crustless Potato Jalapeño Quiche is filled with potatoes, onions, jalapeños, and cheddar cheese and seasoned with chili powder, cumin, and paprika.",https://www.skinnytaste.com/crustless-potato-jalapeno-quiche/
Jalapeno Poppers,Cals:52,1,https://www.skinnytaste.com/wp-content/uploads/2011/01/Skinny-Baked-Jalapeno-Poppers-4.jpg,"LC, V","With football season approaching, these lightened-up, baked Jalapeno Poppers will make the perfect party appetizer.",https://www.skinnytaste.com/skinny-baked-jalapeno-poppers/
Jalapeno Popper “Nachos”,Cals:111,3,https://www.skinnytaste.com/wp-content/uploads/2019/01/Jalapeno-Popper-Nachos-7.jpg,"GF, LC","Jalapeno Poppers meet Nachos in this fun, low-carb twist on two classic appetizers, perfect for sharing with your friends this SUPERBOWL!",https://www.skinnytaste.com/jalapeno-popper-nachos/
Pepperoni Pizza Bites,Cals:286,7,https://www.skinnytaste.com/wp-content/uploads/2022/01/Pepperoni-Pizza-Bites-8.jpg,KF,"Pepperoni Pizza Bites are like those frozen mini bagel pizzas, only made from scratch in a muffin tin using my Greek yogurt bagel dough.",https://www.skinnytaste.com/pepperoni-pizza-bites/
Instant Pot Salsa Chicken,Cals:125,0,https://www.skinnytaste.com/wp-content/uploads/2016/01/InstantPoteasyshreddedsalsachicken-4.jpg,"DF, FM, GF, LC, PC, Q, W","ThisInstant Pot salsa chicken recipeis so quick and easy! Make this juicy 2-ingredient pressure cooker shredded chicken to use in tacos, rice bowls, salads, and more.",https://www.skinnytaste.com/instant-pot-pressure-cooker-easy-salsa/
Pollo Guisado,Cals:344,5,https://www.skinnytaste.com/wp-content/uploads/2022/01/Latin-Chicken-Stew-with-Olives-8.jpg,"DF, FM, GF, KF, LC","Pollo Guisado or Latin Chicken Stew is a hearty braised chicken stew popular in Caribbean, Central and South American cuisines, with loads of flavor and so easy to make!",https://www.skinnytaste.com/pollo-guisado/
Instant Pot Mashed Potatoes,Cals:142,2,https://www.skinnytaste.com/wp-content/uploads/2018/01/Instant-Pot-Mashed-Potatoes-1-5.jpg,"GF, KF, PC, Q, V",These rich and creamyInstant Pot mashed potatoesare ready in a fraction of the time it takes on the stove! This easy mashed potatoes recipe is made with buttermilk for loads of added flavor.,https://www.skinnytaste.com/instant-pot-mashed-potatoes/
Chicken Piccata,Cals:262,5,https://www.skinnytaste.com/wp-content/uploads/2010/05/Chicken-Piccata-8.jpg,"AF, GF, KF, Q","This Chicken Piccata recipe is a delicious Italian chicken dish served in a lemon, wine, butter sauce with capers and parsley.",https://www.skinnytaste.com/chicken-piccata/
Colombian Chicken Sancocho (Sancocho de Pollo),Cals:405,5,https://www.skinnytaste.com/wp-content/uploads/2008/11/chicken-sancocho-10.jpg,"DF, FM, GF, HF","Sancocho de Pollo, a hearty soup almost like a stew, is a traditional dish in the Antioquia region of Colombia that combines potatoes, yuca, corn, plantains, and chicken.",https://www.skinnytaste.com/colombian-chicken-sancocho-8-pts/
Mushroom-Spinach Scrambled Eggs,Cals:271,2,https://www.skinnytaste.com/wp-content/uploads/2022/01/Mushroom-Spinach-Scrambled-Eggs-6.jpg,"DF, GF, HP, LC, Q, V, W","Mushroom-Spinach Scrambled Eggs is one of my go-to recipes for a quick high-protein, low-carb breakfast.",https://www.skinnytaste.com/mushroom-spinach-scrambled-eggs/
Asian Salmon Bowl,Cals:395,7,https://www.skinnytaste.com/wp-content/uploads/2015/01/SalmonBowl-0013-s.jpg,"DF, GF, HF, Q","This Asian Salmon Bowl is my new addiction!! Served overbrown ricetopped with cucumbers, avocado and drizzled with a soy-wasabi vinaigrette – SO good!",https://www.skinnytaste.com/seattle-asian-salmon-bowl/
Tuna Egg Salad,Cals:316,3,https://www.skinnytaste.com/wp-content/uploads/2021/11/Tuna-Egg-Salad-2.jpg,"DF, GF, LC, MP, Q, W",Tuna Egg Salad is my go-to high-protein lunch when I need something quick – it takes about 15 minutes to make and can be meal prepped ahead.,https://www.skinnytaste.com/tuna-egg-salad/
Spaghetti Squash Crust Pizza,Cals:303,9,https://www.skinnytaste.com/wp-content/uploads/2022/01/Spaghetti-Squash-Pizza-Crust-9.jpg,"GF, HP, HF, LC, V",This plant based Spaghetti Squash Crust Pizza is the only way I can get my husband to eat spaghetti squash – it’s that delicious!,https://www.skinnytaste.com/spaghetti-squash-crust-pizza/
Taco Salad (Perfect for Meal Prep),Cals:313,4,https://www.skinnytaste.com/wp-content/uploads/2018/12/Taco-Salad-1-3.jpg,"GF, LC, MP, Q","A quick and easy taco salad made with ground beef or turkey, served over crisp lettuce and topped with cheese, pico de gallo, sour cream, and a zesty taco salad dressing.",https://www.skinnytaste.com/taco-salad-meal-prep/
Top 25 Most Popular Skinnytaste Recipes of 2021,,,https://www.skinnytaste.com/wp-content/uploads/2021/12/TOP-2021.jpg,,"A list of the most popular recipes from 2021, see if your favorite made the list!",https://www.skinnytaste.com/top-25-most-popular-skinnytaste-recipes-2021/
Healthy 3-Ingredient Banana Oatmeal Cookies,Cals:93,1,https://www.skinnytaste.com/wp-content/uploads/2013/02/Healthy-Cookies-9.jpg,"DF, GF, KF, Q, V","These Healthy Banana Oatmeal Cookies are made with just three ingredients! Mashed ripe bananas, oatmeal and walnuts. SO GOOD!",https://www.skinnytaste.com/healthy-cookies/
Chilled Calamari Salad with Lemon and Parsley,Cals:122,2,https://www.skinnytaste.com/wp-content/uploads/2011/06/Chilled-Calamari-Salad-5.jpg,"DF, GF, LC, W","A light refreshing calamari salad made with squid, fresh lemon, celery, red onion, roasted peppers, garlic and parsley.",https://www.skinnytaste.com/chilled-calamari-salad-with-lemon-and/
"Black-Eyed Peas with Leftover Ham, Collard Greens and Cabbage",Cals:320,2,https://www.skinnytaste.com/wp-content/uploads/2021/12/Black-Eyed-Peas-with-Leftover-Ham-Bone-Collard-Greens-and-Cabbage-7.jpg,"DF, HF","Black-Eyed Peas with Leftover Ham, Collard Greens & Cabbage is a great stew to ring in the new year!!",https://www.skinnytaste.com/black-eyed-peas-with-ham-collard-greens-cabbage/
Sausage and Broccoli Rabe Egg Rolls (Air Fryer or Oven),Cals:136,2,https://www.skinnytaste.com/wp-content/uploads/2021/12/Sausage-and-Broccoli-Rabe-Egg-Rolls-1-4.jpg,"AF, Q",These Italian inspired Chicken Sausage and Broccoli Rabe Egg Rolls make a delicious appetizer for the holidays!,https://www.skinnytaste.com/sausage-and-broccoli-rabe-egg-rolls/
Drunken Mussels,Cals:307,4,https://www.skinnytaste.com/wp-content/uploads/2021/12/Drunken-Mussels-7.jpg,"DF, HP, LC, Q","These Drunken Mussels cook in a quick and easy, garlicky white wine-broth sauce with anchovies for ultimate flavor.",https://www.skinnytaste.com/drunken-mussels/
Baked Oatmeal with Blueberries and Bananas,Cals:211,6,https://www.skinnytaste.com/wp-content/uploads/2012/01/Baked-Oatmeal-with-Blueberries-and-Bananas-8.jpg,"GF, KF, V","This is the BEST Baked Oatmeal with Blueberries and Bananas. It's perfect to serve guests for brunch, or make it ahead for the week for easy meal prep, as leftovers taste just as good reheated.",https://www.skinnytaste.com/baked-oatmeal-with-blueberries-and/
Scallops over Wilted Spinach Parmesan Risotto,Cals:481,12,https://www.skinnytaste.com/wp-content/uploads/2009/05/Scallops-Over-Wilted-Spinach-Parmesan-Risotto_1-3.jpg,GF,Scallops over Wilted Spinach Parmesan Risotto,https://www.skinnytaste.com/seared-scallops-over-wilted-spinach-and/
Smashed Potatoes,Cals:135,2,https://www.skinnytaste.com/wp-content/uploads/2021/11/Paprika-Smashed-Potatoes-9.jpg,"DF, GF, V, W","These smashed potatoes, seasoned with paprika, garlic powder, and black pepper, are tender on the inside and crisp on the outside – a delicious side dish for any meal.",https://www.skinnytaste.com/paprika-smashed-potatoes/
Skinnytaste Air Fryer Dinners Cookbook: Free Bonus Pack 3 Exclusive Recipes,,,https://www.skinnytaste.com/wp-content/uploads/2021/11/Screen-Shot-2021-11-28-at-10.52.38-AM.png,AF,I’m beyond exciting that in just a few days my new cookbook Skinnytaste Air Fryer Dinners will finally be hitting bookstores!!,https://www.skinnytaste.com/skinnytaste-air-fryer-dinners-cookbook-free-bonus-pack-3-exclusive-recipes/
Spaghetti Squash Sausage Lasagna Boats,Cals:246,8,https://www.skinnytaste.com/wp-content/uploads/2015/12/Spaghetti-Squash-Sausage-Lasagna-Boats-6.jpg,"GF, LC","These easy Spaghetti Squash Lasagna Boats are filled with everything I love on my lasagna – chicken sausage, tomato sauce, ricotta, parmesan, and mozzarella cheese.",https://www.skinnytaste.com/spaghetti-squash-sausage-lasagna-boats/
Garlic Shrimp,Cals:154,2,https://www.skinnytaste.com/wp-content/uploads/2010/01/Garlic-Shrimp-4.jpg,"DF, GF, LC, Q, W","This simple Garlic Shrimp recipe, inspired by the flavors of Spain takes just minutes to make and it's so flavorful, a weeknight dinner win!",https://www.skinnytaste.com/garlic-shrimp/
Leftover Turkey Harvest Cobb Salad,Cals:466,11,https://www.skinnytaste.com/wp-content/uploads/2016/11/Leftover-Turkey-Harvest-Cobb-Salad.jpg,"GF, HF, Q",Did you eat too much stuffing and pumpkin pie this Thanksgiving? Here’s a wonderful Fall cobb salad to use up any of that leftover turkey if you’re looking for a meal that will be filling yet light.,https://www.skinnytaste.com/leftover-turkey-harvest-cobb-salad/
Herb and Salt-Rubbed Dry Brine Turkey,Cals:225,0,https://www.skinnytaste.com/wp-content/uploads/2019/11/dry-brine-turkey-9.jpg,"DF, GF, LC, W","This Herb and Salt-Rubbed Dry Brined Turkey comes out so moist and flavorful, with crispy golden skin and juicy tender meat.",https://www.skinnytaste.com/dry-brine-turkey/
Stuffing Recipe,Cals:161,4,https://www.skinnytaste.com/wp-content/uploads/2021/11/Stuffing-Recipe-6.jpg,,"This is the best Thanksgiving stuffing recipe, it's my Moms recipe and the one thing I crave every year, even more than the turkey!",https://www.skinnytaste.com/moms-stuffing-lightened-up/
Baked Pumpkin Pasta with Kale,Cals:473,10,https://www.skinnytaste.com/wp-content/uploads/2021/11/Pumpkin-Pasta-with-Kale-12.jpg,"GF, HF","This Baked Pumpkin Pasta is made with pancetta, kale, and white beans and topped with gruyere and panko crumbs.",https://www.skinnytaste.com/baked-pumpkin-pasta-with-gruyere/
Waffled Vegetable Latkes,Cals:205,1,https://www.skinnytaste.com/wp-content/uploads/2017/12/Veggie-Latkes-1-12.jpg,"DF, GF, HF, Q, V","These veggie-packed latkes, are not your traditional latkes, they’re made with shredded potatoes, carrots, zucchini and bell pepper, and they are cooked in a waffle iron so there’s no need to fry! Top them with sour cream, lox and capers or with apple sauce on the side.",https://www.skinnytaste.com/waffled-vegetable-latkes/
Roasted Green Beans with Caramelized Onions,Cals:102,1,https://www.skinnytaste.com/wp-content/uploads/2021/11/Green-Beans-with-Caramelized-Onions-6.jpg,"DF, GF, HF, V, W","This simple side dish of Roasted Green Beans with Caramelized Onions pair wonderfully with Thanksgiving turkey, or can be made anytime of the year!",https://www.skinnytaste.com/roasted-green-beans-with-caramelized-onions/
Shredded Brussels Sprouts with Pancetta,Cals:87,2,https://www.skinnytaste.com/wp-content/uploads/2011/11/shredded-brussels-sprouts-with-pancetta-1-5.jpg,"DF, GF, LC, Q",,https://www.skinnytaste.com/sauteed-brussels-sprouts-with-pancetta/
Turkey Pot Pie with Sweet Potato Topping,Cals:337,5,https://www.skinnytaste.com/wp-content/uploads/2021/11/Turkey-Mashed-Potato-Pot-Pie-9.jpg,"GF, HF, KF",This Turkey Mashed Sweet Potato Pot Pie screams comfort food! A delicious way to use up your Thanksgiving leftovers.,https://www.skinnytaste.com/turkey-pot-pie-with-sweet-potato-topping/
Chicken and Broccoli Noodle Casserole,Cals:313,8,https://www.skinnytaste.com/wp-content/uploads/2012/02/Chicken-and-Broccoli-Noodle-Casserole-9.jpg,KF,"Chicken and Broccoli Noodle Casserole is sure to be a family crowd pleasure for weeknight dinner, even those with picky palates.",https://www.skinnytaste.com/chicken-and-broccoli-noodle-casserole/
Baked Brie Phyllo Tarts with Craisins and Walnuts,Cals:60,2,https://www.skinnytaste.com/wp-content/uploads/2012/11/Baked-Brie-Phyllo-Cups-with-Craisins-and-Walnuts-7.jpg,"Q, V","Easy, 5 ingredient Baked Brie Phyllo Cups topped with craisins, walnuts and honey. Delicious bite-sized appetizers, perfect for the Holidays!",https://www.skinnytaste.com/skinny-baked-brie-phyllo-cups-with/
Peanut Butter and Jelly Smoothie,Cals:222,7,https://www.skinnytaste.com/wp-content/uploads/2013/11/PB-2B-J-Smoothie.jpg,"DF, FM, GF, HF, KF, Q, V","This delicious Peanut Butter and Jelly Smoothie is made with strawberries, blueberries, peanut butter and almond milk – and it's my favorite smoothie to order when I'm in my gym.",https://www.skinnytaste.com/peanut-butter-jelly-smoothie/
Arugula Salmon Salad with Capers and Shaved Parmesan,Cals:288,2,https://www.skinnytaste.com/wp-content/uploads/2012/05/Arugula-Salmon-Salad-with-Capers-and-Shaved-Parmesan.jpg,"GF, LC, Q","Whenever I make salmon for dinner, I usually cook an extra piece for lunch just to make this arugula salmon salad with capers and shaved Parmesan – so good and loaded with good fats and omegas!",https://www.skinnytaste.com/arugula-salmon-salad-with-capers-and/
Chicken Cassoulet,Cals:417,4,https://www.skinnytaste.com/wp-content/uploads/2021/11/Chicken-Sausage-Swiss-Chard-Cassoulet-10.jpg,"DF, FM, GF, HF","This chicken cassoulet is a healthier take on the French classic, prepared with succulent chicken, Swiss chard, white beans, and chicken sausage!",https://www.skinnytaste.com/chicken-cassoulet/
Beef Chili Recipe,Cals:312,1,https://www.skinnytaste.com/wp-content/uploads/2017/10/Instant-Pot-Beef-and-Beer-Chili-1-7.jpg,"DF, FM, GF, HF, KF, MP, PC, SC, Q","Made with both ground beef and beans, plus canned tomatoes and tomato sauce, and a homemade blend of chili seasonings, this is truly theBest Chili Recipe! Hearty, filling, and ready in under an hour, you can make this easy beef chili in the slow cooker or Instant Pot or on the stovetop.",https://www.skinnytaste.com/quick-beef-chili-recipe/
Roasted Acorn Squash with Brown Sugar,Cals:143,7,https://www.skinnytaste.com/wp-content/uploads/2017/10/Roasted-Acorn-Squash-with-Brown-Sugar-3.jpg,"DF, GF, V","Roasted acorn squash with brown sugar, butter and cinnamon is a perfect fall side dish or great Thanksgiving side and so easy to prepare.",https://www.skinnytaste.com/roasted-acorn-squash-with-brown-sugar/
Turkey Cutlets with Parmesan Crust,Cals:196,3,https://www.skinnytaste.com/wp-content/uploads/2015/11/Turkey-Cutlets-with-Parmesan-Crust-8.jpg,"KF, Q","These Turkey Cutlets with Parmesan Crust, pan-fried or air-fried, are a quick weeknight dish the whole family will love!",https://www.skinnytaste.com/turkey-cutlets-with-parmesan-crust/
Butternut Squash Ravioli with Sage Butter,Cals:355,9,https://www.skinnytaste.com/wp-content/uploads/2021/10/Butternut-Squash-Ravioli-with-Sage-Butter-9.jpg,V,An easy butternut squash ravioli recipe made with wonton wrappers – the perfect shortcut instead of making your own pasta.,https://www.skinnytaste.com/butternut-squash-ravioli-with-sage-butter/
Easy Black Bean Vegetarian Chili with Spiced Yogurt,Cals:264,2,https://www.skinnytaste.com/wp-content/uploads/2021/09/Easy-Black-Bean-Vegetarian-Chili-20.jpg,"GF, HF, Q, V",This Easy Black Bean Vegetarian Chili topped with Spiced Yogurt takes about 20 minutes to cook but tastes like it simmered for hours.,https://www.skinnytaste.com/black-bean-vegetarian-chili/
Air Fryer Chicken Milanese with Mediterranean Salad,Cals:562,8,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Chicken-Milanese-8.jpg,"AF, GF, HP, Q","This crispy Air Fryer Breaded Chicken Breast is topped with a Mediterranean Salad of tomatoes, red onion, romaine lettuce, and grated Feta cheese – so good!",https://www.skinnytaste.com/air-fryer-chicken-milanese-with-mediterranean-salad/
Huevos Rancheros,Cals:414,5,https://www.skinnytaste.com/wp-content/uploads/2013/04/Huevos-Rancheros-6.jpg,"GF, HF, Q, V","Huevos rancheros (or rancher’s eggs) are a typical breakfast served at Mexican farms, featuring corn tortillas topped with fried eggs and salsa.",https://www.skinnytaste.com/huevos-rancheros/
Salisbury Steak with Mushroom Gravy,Cals:247,6,https://www.skinnytaste.com/wp-content/uploads/2012/01/Skinny-Salisbury-Steak-with-Mushrooms-5.jpg,"DF, FM, KF, LC, Q",This classic Salisbury Steak recipe is smothered in mushroom gravy and ready in under 30 minutes!,https://www.skinnytaste.com/skinny-salisbury-steak-with-mushroom/
Tofu Stir Fry with Vegetables,Cals:294,3,https://www.skinnytaste.com/wp-content/uploads/2021/09/Tofu-Stir-Fry-7.jpg,"DF, GF, HP, HF, Q, V",This quick and easy Sesame Soy Tofu Stir Fry is loaded with fresh and colorful vegetables and plant-based protein.,https://www.skinnytaste.com/tofu-stir-fry-with-vegetables-in-a-soy-sesame-sauce/
